millis,stamp,datetime,motion
1000, 1293753781, 2011/1/0 0:3:1, Active
, 1293753782, 2011/1/0 0:3:2, Active
2999, 1293753783, 2011/1/0 0:3:3, Active
3999, 1293753784, 2011/1/0 0:3:4, Active
4999, 1293753785, 2011/1/0 0:3:5, Active
5999, 1293753786, 2011/1/0 0:3:6, Active
6999, 1293753787, 2011/1/0 0:3:7, Active
7999, 1293753788, 2011/1/0 0:3:8, Active
8999, 1293753789, 2011/1/0 0:3:9, Inactive
9999, 1293753790, 2011/1/0 0:3:10, Inactive
10999, 1293753791, 2011/1/0 0:3:11, Active
11999, 1293753792, 2011/1/0 0:3:12, Active
12999, 1293753793, 2011/1/0 0:3:13, Active
13999, 1293753794, 2011/1/0 0:3:14, Active
14999, 1293753795, 2011/1/0 0:3:15, Active
15998, 1293753796, 2011/1/0 0:3:16, Active
16999, 1293753797, 2011/1/0 0:3:17, Active
17999, 1293753798, 2011/1/0 0:3:18, Active
18999, 1293753799, 2011/1/0 0:3:19, Active
19999, 1293753800, 2011/1/0 0:3:20, Active
20999, 1293753801, 2011/1/0 0:3:21, Active
21999, 1293753802, 2011/1/0 0:3:22, Active
22999, 1293753803, 2011/1/0 0:3:23, Active
23999, 1293753804, 2011/1/0 0:3:24, Active
24998, 1293753805, 2011/1/0 0:3:25, Active
25999, 1293753806, 2011/1/0 0:3:26, Active
26999, 1293753807, 2011/1/0 0:3:27, Active
27999, 1293753808, 2011/1/0 0:3:28, Active
28999, 1293753809, 2011/1/0 0:3:29, Active
29999, 1293753810, 2011/1/0 0:3:30, Inactive
30999, 1293753811, 2011/1/0 0:3:31, Inactive
32000, 1293753812, 2011/1/0 0:3:32, Inactive
32999, 1293753813, 2011/1/0 0:3:33, Active
33998, 1293753814, 2011/1/0 0:3:34, Active
34999, 1293753815, 2011/1/0 0:3:35, Active
36000, 1293753816, 2011/1/0 0:3:36, Active
36999, 1293753817, 2011/1/0 0:3:37, Active
37999, 1293753818, 2011/1/0 0:3:38, Active
38999, 1293753819, 2011/1/0 0:3:39, Active
39999, 1293753820, 2011/1/0 0:3:40, Active
40999, 1293753821, 2011/1/0 0:3:41, Active
41999, 1293753822, 2011/1/0 0:3:42, Active
42999, 1293753823, 2011/1/0 0:3:43, Active
43999, 1293753824, 2011/1/0 0:3:44, Active
44999, 1293753825, 2011/1/0 0:3:45, Active
45999, 1293753826, 2011/1/0 0:3:46, Active
46999, 1293753827, 2011/1/0 0:3:47, Active
48000, 1293753828, 2011/1/0 0:3:48, Active
48998, 1293753829, 2011/1/0 0:3:49, Active
49999, 1293753830, 2011/1/0 0:3:50, Active
50999, 1293753831, 2011/1/0 0:3:51, Active
51998, 1293753832, 2011/1/0 0:3:52, Active
52999, 1293753833, 2011/1/0 0:3:53, Active
53999, 1293753834, 2011/1/0 0:3:54, Active
54999, 1293753835, 2011/1/0 0:3:55, Inactive
55999, 1293753836, 2011/1/0 0:3:56, Inactive
56999, 1293753837, 2011/1/0 0:3:57, Inactive
57999, 1293753838, 2011/1/0 0:3:58, Inactive
58999, 1293753839, 2011/1/0 0:3:59, Inactive
59998, 1293753840, 2011/1/0 0:4:0, Inactive
60998, 1293753841, 2011/1/0 0:4:1, Inactive
61999, 1293753842, 2011/1/0 0:4:2, Inactive
4:3, Inactive
63998, 1293753844, 2011/1/0 0:4:4, Active
64999, 1293753845, 2011/1/0 0:4:5, Active
65999, 1293753846, 2011/1/0 0:4:6, Active
67000, 1293753847, 2011/1/0 0:4:7, Active
67999, 1293753848, 2011/1/0 0:4:8, Active
69000, 1293753849, 2011/1/0 0:4:9, Active
69999, 1293753850, 2011/1/0 0:4:10, Activ, 1293753858, 2011/1/0 0:4:18, Inactive
77999, 1293753858, 2011/1/0 0:4:18, Inactive
78998, 1293753859, 2011/1/0 0:4:19, Active
80000, 1293753860, 2011/1/0 0:4:20, Active
80999, 1293753861, 2011/1/0 0:4:21, Active
81999, 1293753862, 2011/1/0 0:4:22, Active
82999, 1293753863, 2011/1/0 0:4:23, Active
83999, 1293753864, 2011/1/0 0:4:24, Active
85000, 1293753865, 2011/1/0 0:4:25, Active
85999, 1293753866, 2011/1/0 0:4:26, Inactive
87000, 1293753867, 2011/1/0 0:4:27, Inactive
87999, 1293753868, 2011/16:56, Active
